[19-Jul-2015 15:41:24 Europe/Amsterdam] PHP Fatal error:  Class 'Str' not found in /home/id00005/domains/digitusmarketing.nl/app/Http/Middleware/EenDagCache.php on line 30
[19-Jul-2015 16:18:47 Europe/Amsterdam] PHP Parse error:  syntax error, unexpected '{' in /home/id00005/domains/digitusmarketing.nl/storage/framework/views/fc6687127a291b1b76d232452d855b77 on line 114
[20-Jul-2015 09:18:58 Europe/Amsterdam] PHP Parse error:  syntax error, unexpected '$user' (T_VARIABLE), expecting ')' in /home/id00005/domains/digitusmarketing.nl/app/Http/Controllers/Member/MemberBenodigdhedenController.php on line 312
[20-Jul-2015 09:19:00 Europe/Amsterdam] PHP Parse error:  syntax error, unexpected '$user' (T_VARIABLE), expecting ')' in /home/id00005/domains/digitusmarketing.nl/app/Http/Controllers/Member/MemberBenodigdhedenController.php on line 312
[20-Jul-2015 07:41:20 UTC] PHP Warning:  POST Content-Length of 9070144 bytes exceeds the limit of 8388608 bytes in Unknown on line 0
[20-Jul-2015 07:41:58 UTC] PHP Warning:  POST Content-Length of 9070144 bytes exceeds the limit of 8388608 bytes in Unknown on line 0
[20-Jul-2015 07:44:05 UTC] PHP Warning:  POST Content-Length of 9070144 bytes exceeds the limit of 8388608 bytes in Unknown on line 0
[20-Jul-2015 07:45:39 UTC] PHP Warning:  POST Content-Length of 9070145 bytes exceeds the limit of 8388608 bytes in Unknown on line 0
[20-Jul-2015 07:47:18 UTC] PHP Warning:  POST Content-Length of 9070145 bytes exceeds the limit of 8388608 bytes in Unknown on line 0
[20-Jul-2015 07:47:43 UTC] PHP Warning:  POST Content-Length of 9061384 bytes exceeds the limit of 8388608 bytes in Unknown on line 0
[20-Jul-2015 07:49:27 UTC] PHP Warning:  POST Content-Length of 9070162 bytes exceeds the limit of 8388608 bytes in Unknown on line 0
[20-Jul-2015 07:49:48 UTC] PHP Warning:  POST Content-Length of 9070162 bytes exceeds the limit of 8388608 bytes in Unknown on line 0
[20-Jul-2015 07:50:11 UTC] PHP Warning:  POST Content-Length of 9070162 bytes exceeds the limit of 8388608 bytes in Unknown on line 0
[20-Jul-2015 10:54:45 Europe/Amsterdam] PHP Parse error:  syntax error, unexpected '@' in /home/id00005/domains/digitusmarketing.nl/storage/framework/views/2f402a3623fcf9e7839a21c3c6f33272 on line 14
[22-Jul-2015 17:40:22 Europe/Amsterdam] PHP Fatal error:  Call to a member function published() on a non-object in /home/id00005/domains/digitusmarketing.nl/app/Http/Controllers/BlogController.php on line 52
[23-Jul-2015 09:01:26 UTC] PHP Warning:  POST Content-Length of 10567306 bytes exceeds the limit of 8388608 bytes in Unknown on line 0
[30-Jul-2015 12:51:14 Europe/Amsterdam] PHP Fatal error:  Class 'App\Training' not found in /home/id00005/domains/digitusmarketing.nl/app/Repositories/TrainingenRepository.php on line 9
[30-Jul-2015 12:53:12 Europe/Amsterdam] PHP Fatal error:  Class 'App\Training' not found in /home/id00005/domains/digitusmarketing.nl/app/Repositories/TrainingenRepository.php on line 9
[30-Jul-2015 12:53:44 Europe/Amsterdam] PHP Fatal error:  Class 'App\Training' not found in /home/id00005/domains/digitusmarketing.nl/app/Repositories/TrainingenRepository.php on line 9
[30-Jul-2015 14:02:40 Europe/Amsterdam] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /home/id00005/domains/digitusmarketing.nl/storage/framework/views/59b42f68f4b4da73c1bda3b69277377a on line 9
[30-Jul-2015 14:16:42 Europe/Amsterdam] PHP Fatal error:  Call to a member function first() on a non-object in /home/id00005/domains/digitusmarketing.nl/app/Http/Controllers/TrainingenController.php on line 47
[30-Jul-2015 14:42:22 Europe/Amsterdam] PHP Fatal error:  Class 'App\Http\Controllers\App\Dienst' not found in /home/id00005/domains/digitusmarketing.nl/app/Http/Controllers/TrainingenController.php on line 46
